BUYER_COUNTY,BUYER_STATE,year,count,DOSAGE_UNIT,countyfips
ABBEVILLE,SC,2006,877,363620,45001
ABBEVILLE,SC,2007,908,402940,45001
ABBEVILLE,SC,2008,871,424590,45001
ABBEVILLE,SC,2009,930,467230,45001
ABBEVILLE,SC,2010,1197,539280,45001
ABBEVILLE,SC,2011,1327,566560,45001
ABBEVILLE,SC,2012,1509,589010,45001
ACADIA,LA,2006,5802,1969720,22001
ACADIA,LA,2007,5660,2207310,22001
ACADIA,LA,2008,5703,2246900,22001
ACADIA,LA,2009,6070,2537240,22001
ACADIA,LA,2010,6266,2679687,22001
ACADIA,LA,2011,6499,2806270,22001
ACADIA,LA,2012,7151,2640841,22001
ACCOMACK,VA,2006,1410,487300,51001
ACCOMACK,VA,2007,1826,614000,51001
ACCOMACK,VA,2008,1881,691600,51001
ACCOMACK,VA,2009,1825,702600,51001
ACCOMACK,VA,2010,2336,800550,51001
ACCOMACK,VA,2011,2588,918550,51001
ACCOMACK,VA,2012,2510,839370,51001
ADA,ID,2006,26077,11094634,16001
ADA,ID,2007,24750,10826747,16001
ADA,ID,2008,26294,11817954,16001
ADA,ID,2009,28967,13061399,16001
ADA,ID,2010,34885,16145256,16001
ADA,ID,2011,36742,18138918,16001
ADA,ID,2012,38273,18992237,16001
ADAIR,IA,2006,349,135525,19001
ADAIR,IA,2007,412,159700,19001
ADAIR,IA,2008,567,183800,19001
ADAIR,IA,2009,716,217900,19001
ADAIR,IA,2010,762,222100,19001
ADAIR,IA,2011,842,233600,19001
ADAIR,IA,2012,811,232420,19001
ADAIR,KY,2006,1611,694990,21001
ADAIR,KY,2007,1804,691730,21001
ADAIR,KY,2008,2132,822920,21001
ADAIR,KY,2009,2326,897770,21001
ADAIR,KY,2010,2809,1033160,21001
ADAIR,KY,2011,3137,1212510,21001
ADAIR,KY,2012,3033,1189460,21001
ADAIR,MO,2006,2564,879240,29001
ADAIR,MO,2007,3151,972670,29001
ADAIR,MO,2008,3353,1061390,29001
ADAIR,MO,2009,3569,1213050,29001
ADAIR,MO,2010,4069,1332110,29001
ADAIR,MO,2011,4283,1564110,29001
ADAIR,MO,2012,4215,1638990,29001
ADAIR,OK,2006,1771,504500,40001
ADAIR,OK,2007,2167,629600,40001
ADAIR,OK,2008,2582,772100,40001
ADAIR,OK,2009,2843,886270,40001
ADAIR,OK,2010,2925,1027450,40001
ADAIR,OK,2011,3320,1229120,40001
ADAIR,OK,2012,3150,1238760,40001
ADAMS,CO,2006,21926,7797330,08001
ADAMS,CO,2007,25592,8682060,08001
ADAMS,CO,2008,28572,9949801,08001
ADAMS,CO,2009,30590,11083342,08001
ADAMS,CO,2010,33105,12211810,08001
ADAMS,CO,2011,34205,13476740,08001
ADAMS,CO,2012,34503,13647534,08001
ADAMS,IA,2006,143,71400,19003
ADAMS,IA,2007,167,87500,19003
ADAMS,IA,2008,207,93900,19003
ADAMS,IA,2009,210,91400,19003
ADAMS,IA,2010,133,62400,19003
ADAMS,IA,2011,162,60300,19003
ADAMS,IA,2012,172,68600,19003
ADAMS,ID,2006,21,2800,16003
ADAMS,ID,2007,13,1900,16003
ADAMS,ID,2008,6,1200,16003
ADAMS,ID,2009,6,1200,16003
ADAMS,ID,2010,7,1400,16003
ADAMS,ID,2011,6,1100,16003
ADAMS,ID,2012,6,1400,16003
ADAMS,IL,2006,4658,1852330,17001
ADAMS,IL,2007,5161,2239600,17001
ADAMS,IL,2008,5865,2532330,17001
ADAMS,IL,2009,6692,2887380,17001
ADAMS,IL,2010,7685,3270000,17001
ADAMS,IL,2011,8431,3508530,17001
ADAMS,IL,2012,7860,3494230,17001
ADAMS,IN,2006,1475,434320,18001
ADAMS,IN,2007,1806,543000,18001
ADAMS,IN,2008,1799,601900,18001
ADAMS,IN,2009,1981,688900,18001
ADAMS,IN,2010,2213,766770,18001
ADAMS,IN,2011,2575,930900,18001
ADAMS,IN,2012,2807,999150,18001
ADAMS,MS,2006,5353,1932890,28001
ADAMS,MS,2007,5202,2136140,28001
ADAMS,MS,2008,5044,2341500,28001
ADAMS,MS,2009,4986,2395730,28001
ADAMS,MS,2010,5409,2466920,28001
ADAMS,MS,2011,5882,2755400,28001
ADAMS,MS,2012,5680,2688760,28001
ADAMS,ND,2006,339,81900,38001
ADAMS,ND,2007,381,102320,38001
ADAMS,ND,2008,306,99100,38001
ADAMS,ND,2009,334,114200,38001
ADAMS,ND,2010,368,115650,38001
ADAMS,ND,2011,398,122510,38001
ADAMS,ND,2012,358,122590,38001
ADAMS,NE,2006,2028,563140,31001
ADAMS,NE,2007,2326,664320,31001
ADAMS,NE,2008,2466,740400,31001
ADAMS,NE,2009,2458,809260,31001
ADAMS,NE,2010,2689,834173,31001
ADAMS,NE,2011,3234,954060,31001
ADAMS,NE,2012,3018,971680,31001
ADAMS,OH,2006,3515,1553880,39001
ADAMS,OH,2007,3846,1652200,39001
ADAMS,OH,2008,4161,1825870,39001
ADAMS,OH,2009,4036,1870210,39001
ADAMS,OH,2010,4101,1820320,39001
ADAMS,OH,2011,3977,1792820,39001
ADAMS,OH,2012,3594,1656790,39001
ADAMS,PA,2006,5424,1882950,42001
ADAMS,PA,2007,5511,2009450,42001
ADAMS,PA,2008,5678,2123800,42001
ADAMS,PA,2009,6448,2400900,42001
ADAMS,PA,2010,7134,2599340,42001
ADAMS,PA,2011,7899,2922910,42001
ADAMS,PA,2012,8334,3022160,42001
ADAMS,WA,2006,1104,370200,53001
ADAMS,WA,2007,1176,443500,53001
ADAMS,WA,2008,1455,451600,53001
ADAMS,WA,2009,1575,521320,53001
ADAMS,WA,2010,1822,542500,53001
ADAMS,WA,2011,1899,601300,53001
