BUYER_COUNTY,BUYER_STATE,countyfips
AUTAUGA,AL,01001
BALDWIN,AL,01003
BARBOUR,AL,01005
BIBB,AL,01007
BLOUNT,AL,01009
BULLOCK,AL,01011
BUTLER,AL,01013
CALHOUN,AL,01015
CHAMBERS,AL,01017
CHEROKEE,AL,01019
CHILTON,AL,01021
CHOCTAW,AL,01023
CLARKE,AL,01025
CLAY,AL,01027
CLEBURNE,AL,01029
COFFEE,AL,01031
COLBERT,AL,01033
CONECUH,AL,01035
COOSA,AL,01037
COVINGTON,AL,01039
CRENSHAW,AL,01041
CULLMAN,AL,01043
DALE,AL,01045
DALLAS,AL,01047
DE KALB,AL,01049
ELMORE,AL,01051
ESCAMBIA,AL,01053
ETOWAH,AL,01055
FAYETTE,AL,01057
FRANKLIN,AL,01059
GENEVA,AL,01061
GREENE,AL,01063
HALE,AL,01065
HENRY,AL,01067
HOUSTON,AL,01069
JACKSON,AL,01071
JEFFERSON,AL,01073
LAMAR,AL,01075
LAUDERDALE,AL,01077
LAWRENCE,AL,01079
LEE,AL,01081
LIMESTONE,AL,01083
LOWNDES,AL,01085
MACON,AL,01087
MADISON,AL,01089
MARENGO,AL,01091
MARION,AL,01093
MARSHALL,AL,01095
MOBILE,AL,01097
MONROE,AL,01099
MONTGOMERY,AL,01101
MORGAN,AL,01103
PERRY,AL,01105
PICKENS,AL,01107
PIKE,AL,01109
RANDOLPH,AL,01111
RUSSELL,AL,01113
SAINT CLAIR,AL,01115
SHELBY,AL,01117
SUMTER,AL,01119
TALLADEGA,AL,01121
TALLAPOOSA,AL,01123
TUSCALOOSA,AL,01125
WALKER,AL,01127
WASHINGTON,AL,01129
WILCOX,AL,01131
WINSTON,AL,01133
ALEUTIANS EAST,AK,02013
ALEUTIANS WEST,AK,02016
ANCHORAGE,AK,02020
BETHEL,AK,02050
BRISTOL BAY,AK,02060
DENALI,AK,02068
DILLINGHAM,AK,02070
FAIRBANKS NORTH STAR,AK,02090
HAINES,AK,02100
JUNEAU,AK,02110
KENAI PENINSULA,AK,02122
KETCHIKAN GATEWAY,AK,02130
KODIAK ISLAND,AK,02150
LAKE AND PENINSULA,AK,02164
MATANUSKA SUSITNA,AK,02170
NOME,AK,02180
NORTH SLOPE,AK,02185
NORTHWEST ARCTIC,AK,02188
PRINCE OF WALES HYDER,AK,02201
SITKA,AK,02220
SKAGWAY HOONAH ANGOON,AK,02232
SOUTHEAST FAIRBANKS,AK,02240
VALDEZ CORDOVA,AK,02261
WADE HAMPTON,AK,02270
WRANGELL,AK,02280
YAKUTAT,AK,02282
YUKON KOYUKUK,AK,02290
APACHE,AZ,04001
COCHISE,AZ,04003
COCONINO,AZ,04005
GILA,AZ,04007
GRAHAM,AZ,04009
GREENLEE,AZ,04011
LA PAZ,AZ,04012
MARICOPA,AZ,04013
MOHAVE,AZ,04015
NAVAJO,AZ,04017
PIMA,AZ,04019
PINAL,AZ,04021
SANTA CRUZ,AZ,04023
YAVAPAI,AZ,04025
YUMA,AZ,04027
ARKANSAS,AR,05001
ASHLEY,AR,05003
BAXTER,AR,05005
BENTON,AR,05007
BOONE,AR,05009
BRADLEY,AR,05011
CALHOUN,AR,05013
CARROLL,AR,05015
CHICOT,AR,05017
CLARK,AR,05019
CLAY,AR,05021
CLEBURNE,AR,05023
CLEVELAND,AR,05025
COLUMBIA,AR,05027
CONWAY,AR,05029
CRAIGHEAD,AR,05031
CRAWFORD,AR,05033
CRITTENDEN,AR,05035
CROSS,AR,05037
DALLAS,AR,05039
DESHA,AR,05041
DREW,AR,05043
FAULKNER,AR,05045
FRANKLIN,AR,05047
FULTON,AR,05049
GARLAND,AR,05051
GRANT,AR,05053
GREENE,AR,05055
HEMPSTEAD,AR,05057
HOT SPRING,AR,05059
HOWARD,AR,05061
INDEPENDENCE,AR,05063
IZARD,AR,05065
JACKSON,AR,05067
JEFFERSON,AR,05069
JOHNSON,AR,05071
LAFAYETTE,AR,05073
LAWRENCE,AR,05075
LEE,AR,05077
LINCOLN,AR,05079
LITTLE RIVER,AR,05081
LOGAN,AR,05083
LONOKE,AR,05085
MADISON,AR,05087
MARION,AR,05089
MILLER,AR,05091
MISSISSIPPI,AR,05093
MONROE,AR,05095
NEVADA,AR,05099
NEWTON,AR,05101
OUACHITA,AR,05103
PERRY,AR,05105
PHILLIPS,AR,05107
PIKE,AR,05109
POINSETT,AR,05111
POLK,AR,05113
POPE,AR,05115
PRAIRIE,AR,05117
PULASKI,AR,05119
RANDOLPH,AR,05121
SAINT FRANCIS,AR,05123
SALINE,AR,05125
SCOTT,AR,05127
SEARCY,AR,05129
SEBASTIAN,AR,05131
SEVIER,AR,05133
SHARP,AR,05135
STONE,AR,05137
UNION,AR,05139
VAN BUREN,AR,05141
WASHINGTON,AR,05143
WHITE,AR,05145
WOODRUFF,AR,05147
YELL,AR,05149
ALAMEDA,CA,06001
ALPINE,CA,06003
AMADOR,CA,06005
BUTTE,CA,06007
CALAVERAS,CA,06009
COLUSA,CA,06011
CONTRA COSTA,CA,06013
DEL NORTE,CA,06015
EL DORADO,CA,06017
FRESNO,CA,06019
GLENN,CA,06021
HUMBOLDT,CA,06023
IMPERIAL,CA,06025
INYO,CA,06027
KERN,CA,06029
KINGS,CA,06031
LAKE,CA,06033
LASSEN,CA,06035
LOS ANGELES,CA,06037
MADERA,CA,06039
MARIN,CA,06041
MARIPOSA,CA,06043
MENDOCINO,CA,06045
MERCED,CA,06047
MODOC,CA,06049
MONO,CA,06051
MONTEREY,CA,06053
NAPA,CA,06055
NEVADA,CA,06057
ORANGE,CA,06059
PLACER,CA,06061
PLUMAS,CA,06063
RIVERSIDE,CA,06065
SACRAMENTO,CA,06067
SAN BENITO,CA,06069
SAN BERNARDINO,CA,06071
SAN DIEGO,CA,06073
SAN FRANCISCO,CA,06075
SAN JOAQUIN,CA,06077
SAN LUIS OBISPO,CA,06079
SAN MATEO,CA,06081
SANTA BARBARA,CA,06083
SANTA CLARA,CA,06085
SANTA CRUZ,CA,06087
SHASTA,CA,06089
SIERRA,CA,06091
SISKIYOU,CA,06093
SOLANO,CA,06095
SONOMA,CA,06097
STANISLAUS,CA,06099
SUTTER,CA,06101
TEHAMA,CA,06103
TRINITY,CA,06105
TULARE,CA,06107
TUOLUMNE,CA,06109
VENTURA,CA,06111
YOLO,CA,06113
YUBA,CA,06115
ADAMS,CO,08001
ALAMOSA,CO,08003
ARAPAHOE,CO,08005
ARCHULETA,CO,08007
BACA,CO,08009
BENT,CO,08011
BOULDER,CO,08013
BROOMFIELD,CO,08014
