Reporter_family,REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY
ACE Surgical Supply Co Inc,PA0006836,DISTRIBUTOR,ACE SURGICAL SUPPLY CO INC,,1034 PEARL STREET,,BROCKTON,MA,2301,PLYMOUTH
Alltech Associates Inc,PA0016647,MANUF (BULK),"ALLTECH ASSOCIATES, INC.",,2051 WAUKEGAN ROAD,,DEERFIELD,IL,60015,LAKE
Apotheca Inc,PA0021179,DISTRIBUTOR,APOTHECA INC,,1622 N 16TH ST,,PHOENIX,AZ,85006,MARICOPA
Abbott Laboratories,PA0036714,MANUFACTURER,ABBOTT LABORATORIES,ATTN: D-802,14TH & SHERIDAN ROAD,16TH STREET ENTRANCE,NORTH CHICAGO,IL,60064,LAKE
Abbott Laboratories,PA0037982,MANUFACTURER,ABBOTT LABORATORIES,"ATTN: D049K, BLDG AP8B",100 ABBOTT PARK ROAD,,ABBOTT PARK,IL,60064,LAKE
Abbott Pharmaceuticals PR Ltd,PA0048593,MANUFACTURER,ABBOTT PHARMACEUTICALS PR LTD,ATTN: VICE PRESIDENT,P O BOX 278 KM 58,ROAD #2 CRUCE DAVILA,BARCELONETA,PR,617,BARCELONETA
"Actavis Pharma, Inc.",PA0226589,MANUFACTURER,ACTAVIS TOTOWA LLC,,101 EAST MAIN STREET,,LITTLE FALLS,NJ,7424,PASSAIC
"KPH Healthcare Services, Inc.",PB0020052,DISTRIBUTOR,"KPH HEALTHCARE SERVICES, INC.",KINNEY DRUGS WAREHOUSE,520 EAST MAIN ST.,,GOUVERNEUR,NY,13642,SAINT LAWRENCE
Burlington Drug Company,PB0020139,DISTRIBUTOR,BURLINGTON DRUG COMPANY,,91 CATAMOUNT DR,,MILTON,VT,5468,CHITTENDEN
Bellco Drug Corp,PB0034861,DISTRIBUTOR,BELLCO DRUG CORP,,5500 NEW HORIZONS BLVD,,NORTH AMITYVILLE,NY,11701,SUFFOLK
Spectrum Laboratory Products,PB0122755,MANUFACTURER,SPECTRUM LABORATORY PRODUCTS,SPECTRUM CHEMICAL MFG. CORP.,INC.,14422 S SAN PEDRO ST,GARDENA,CA,90248,LOS ANGELES
Bloodworth Wholesale Drugs,PB0167127,DISTRIBUTOR,BLOODWORTH WHOLESALE DRUGS,,2128 YANK LAMB DRIVE,P.O. BOX 1849,TIFTON,GA,31793,TIFT
