BUYER_DEA_NO,mail_hospital
BN8825866,flag
FN1194860,flag
BH9221641,flag
BP0237265,flag
BS8786189,flag
AH7552462,flag
AF1819664,flag
AF2524064,flag
BF1855862,flag
BF2175102,flag
BF9009336,flag
BU8075524,flag
BC9920782,flag
BO5781415,flag
BS4797544,flag
BS9908825,flag
BU6465909,flag
FH1869568,flag
FH2502082,flag
FM0014807,flag
FM2114178,flag
FP0048137,flag
FR1173296,flag
FS1551010,flag
FU1439389,flag
FU1439391,flag
FU2970348,flag
FW1479662,flag
FW1479674,flag
BF2696891,flag
BS4356211,flag
AH5414191,flag
BP9163902,flag
AA3166736,flag
BT9963314,flag
FF2751053,flag
FL2530613,flag
FT0114190,flag
FT0114239,flag
FT0114291,flag
FT2896097,flag
FF0134003,flag
AC4241054,flag
BC1228469,flag
BC9271937,flag
BD8532170,flag
BC2745846,flag
BG3437577,flag
BH1976731,flag
BK2483080,flag
BN3028924,flag
FA1028681,flag
FA2413095,flag
AH8632639,flag
AK9217236,flag
BK3836167,flag
BK3924176,flag
BK4226533,flag
BB5307221,flag
BB6179875,flag
BD3541996,flag
BH4004658,flag
FJ0360913,flag
FU0814928,flag
AH6506779,flag
BS3142267,flag
BS4749581,flag
BS6079102,flag
BW8910879,flag
FS1698565,flag
FS2387339,flag
AH5840497,flag
BB4685763,flag
BH0282878,flag
BH5806596,flag
BH8605315,flag
FL1802708,flag
BA5700679,flag
BF6967725,flag
BS6707535,flag
FC2698465,flag
FL0518590,flag
BH2192398,flag
FG2480577,flag
BF7476307,flag
FU1193084,flag
FP2038001,flag
FP2038013,flag
AT3198567,flag
BC7018826,flag
FF0115596,flag
BF8020884,flag
AH3194266,flag
BB8746591,flag
BG3568411,flag
BG3905330,flag
BH6730798,flag
BH7952523,flag
BM9075979,flag
BN6205505,flag
BN9553163,flag
BO5539347,flag
FB0763208,flag
FH1073270,flag
BH3617896,flag
BW4197883,flag
AN8637920,flag
AS1855545,flag
BP7216193,flag
BP9109833,flag
BU9503625,flag
AA9641564,flag
AH7639199,flag
BA9104112,flag
BC8431809,flag
BE5223677,flag
BG2881313,flag
BP5692290,flag
FH1448150,flag
BC8894455,flag
BF3439913,flag
BH2655287,flag
BS9205786,flag
BS9912420,flag
FP2245151,flag
FS1762461,flag
AC0399673,flag
BD5715783,flag
BH2700551,flag
BM9061879,flag
BS9041423,flag
FK0286559,flag
FS2036968,flag
BC8315043,flag
BW6420412,flag
FC1147001,flag
FG0544658,flag
AM1540651,flag
FS0165731,flag
AB9132111,flag
BA5323403,flag
FR0769135,flag
