BUYER_DEA_NO,BUYER_COUNTY,BUYER_STATE,STATEFP,COUNTYFP,county_fips
BR5156078,BALDWIN,AL,01,003,01003
BW4707139,BALDWIN,AL,01,003,01003
BN5150141,BALDWIN,AL,01,003,01003
FH2332233,BALDWIN,AL,01,003,01003
AS0479421,BALDWIN,AL,01,003,01003
FM0569814,BALDWIN,AL,01,003,01003
FF3603708,BALDWIN,AL,01,003,01003
FP0535130,BALDWIN,AL,01,003,01003
FB0605812,BLOUNT,AL,01,009,01009
AB0454176,BLOUNT,AL,01,009,01009
AC7530428,COOSA,AL,01,037,01037
FC2539659,COOSA,AL,01,037,01037
BM3876868,CULLMAN,AL,01,043,01043
BW7177644,CULLMAN,AL,01,043,01043
BC4725202,CULLMAN,AL,01,043,01043
BE4870968,CULLMAN,AL,01,043,01043
AH8971043,CULLMAN,AL,01,043,01043
FW1007093,CULLMAN,AL,01,043,01043
BH9446560,CULLMAN,AL,01,043,01043
BH2094299,CULLMAN,AL,01,043,01043
AK8900020,CULLMAN,AL,01,043,01043
BM4569476,CULLMAN,AL,01,043,01043
BW5383271,CULLMAN,AL,01,043,01043
BF8025593,ESCAMBIA,AL,01,053,01053
FR1214345,ETOWAH,AL,01,055,01055
BW5998351,HOUSTON,AL,01,069,01069
FN2464624,HOUSTON,AL,01,069,01069
BB9445479,JACKSON,AL,01,071,01071
BU9720853,JEFFERSON,AL,01,073,01073
BR5156826,JEFFERSON,AL,01,073,01073
BH2869634,JEFFERSON,AL,01,073,01073
AJ0467971,JEFFERSON,AL,01,073,01073
BL9687988,JEFFERSON,AL,01,073,01073
FG2608175,JEFFERSON,AL,01,073,01073
BR5155432,JEFFERSON,AL,01,073,01073
BW5382914,LEE,AL,01,081,01081
BW4336271,LEE,AL,01,081,01081
AH5497830,MARSHALL,AL,01,095,01095
AP9051955,MARSHALL,AL,01,095,01095
BW7173242,MOBILE,AL,01,097,01097
BW7710773,MOBILE,AL,01,097,01097
AL3471997,MOBILE,AL,01,097,01097
BW5383613,MOBILE,AL,01,097,01097
BH2254821,MOBILE,AL,01,097,01097
BS7445706,MOBILE,AL,01,097,01097
BI4870956,MOBILE,AL,01,097,01097
FC2476047,MOBILE,AL,01,097,01097
BR5156965,MONTGOMERY,AL,01,101,01101
BW3313854,MONTGOMERY,AL,01,101,01101
AS0474356,MORGAN,AL,01,103,01103
BR5155026,MORGAN,AL,01,103,01103
BK5332298,MORGAN,AL,01,103,01103
FW0689135,MORGAN,AL,01,103,01103
BH2094314,MORGAN,AL,01,103,01103
AF3177462,MORGAN,AL,01,103,01103
AS4551619,MORGAN,AL,01,103,01103
BR5156953,PICKENS,AL,01,107,01107
AP9395004,PICKENS,AL,01,107,01107
AF5809720,RUSSELL,AL,01,113,01113
FU2988256,RUSSELL,AL,01,113,01113
FS0052299,SHELBY,AL,01,117,01117
FW0730401,SHELBY,AL,01,117,01117
BC6901640,SHELBY,AL,01,117,01117
FP2471477,SHELBY,AL,01,117,01117
AT8898667,SUMTER,AL,01,119,01119
AY0478556,SUMTER,AL,01,119,01119
BY6065723,SUMTER,AL,01,119,01119
BW3575226,TUSCALOOSA,AL,01,125,01125
BK2060060,TUSCALOOSA,AL,01,125,01125
BF6571790,TUSCALOOSA,AL,01,125,01125
FH0903422,TUSCALOOSA,AL,01,125,01125
BW5383396,TUSCALOOSA,AL,01,125,01125
FS3113608,TUSCALOOSA,AL,01,125,01125
AL0478924,TUSCALOOSA,AL,01,125,01125
AG9104340,WINSTON,AL,01,133,01133
BH3897608,WINSTON,AL,01,133,01133
FG2260937,WINSTON,AL,01,133,01133
FW0063913,DALLAS,AL,01,047,01047
FA0604505,DALLAS,AL,01,047,01047
BW5383219,HOUSTON,AL,01,069,01069
BW4861705,HOUSTON,AL,01,069,01069
BW8821779,BALDWIN,AL,01,003,01003
AM2766446,CHOCTAW,AL,01,023,01023
AM4455297,CHOCTAW,AL,01,023,01023
BF6981028,CHOCTAW,AL,01,023,01023
AC0476514,CLARKE,AL,01,025,01025
BT5226976,CLARKE,AL,01,025,01025
BW9881550,CULLMAN,AL,01,043,01043
BW9075498,CULLMAN,AL,01,043,01043
BR5156129,DALE,AL,01,045,01045
FC0166125,DALE,AL,01,045,01045
AA6785995,DALE,AL,01,045,01045
AP0474306,DALLAS,AL,01,047,01047
AB0453097,DALLAS,AL,01,047,01047
AS0473669,DALLAS,AL,01,047,01047
BD7436125,DALLAS,AL,01,047,01047
BH3014711,DALLAS,AL,01,047,01047
AC3164035,DALLAS,AL,01,047,01047
FG0422446,ETOWAH,AL,01,055,01055
AW9800435,ETOWAH,AL,01,055,01055
FR2498132,ETOWAH,AL,01,055,01055
AJ7232882,ETOWAH,AL,01,055,01055
FS1685758,FRANKLIN,AL,01,059,01059
BW5382988,FRANKLIN,AL,01,059,01059
AF2897176,FRANKLIN,AL,01,059,01059
FS1769035,FRANKLIN,AL,01,059,01059
FH0413978,FRANKLIN,AL,01,059,01059
FS1704659,FRANKLIN,AL,01,059,01059
BA4370425,FRANKLIN,AL,01,059,01059
BM2917257,FRANKLIN,AL,01,059,01059
BJ9084675,HOUSTON,AL,01,069,01069
BP9909637,HOUSTON,AL,01,069,01069
AB6315801,HOUSTON,AL,01,069,01069
AC5557321,HOUSTON,AL,01,069,01069
FP2246088,HOUSTON,AL,01,069,01069
BS3863140,HOUSTON,AL,01,069,01069
FS1137149,HOUSTON,AL,01,069,01069
BI8654370,HOUSTON,AL,01,069,01069
AR1935420,JEFFERSON,AL,01,073,01073
AB0476730,JEFFERSON,AL,01,073,01073
FF2390110,JEFFERSON,AL,01,073,01073
BW6079582,JEFFERSON,AL,01,073,01073
BW4392647,JEFFERSON,AL,01,073,01073
BH3898357,JEFFERSON,AL,01,073,01073
BW6235116,JEFFERSON,AL,01,073,01073
BR5764306,JEFFERSON,AL,01,073,01073
BD5662867,JEFFERSON,AL,01,073,01073
AB2207012,JEFFERSON,AL,01,073,01073
FL0555079,JEFFERSON,AL,01,073,01073
BR5154795,JEFFERSON,AL,01,073,01073
BC8574697,JEFFERSON,AL,01,073,01073
BS7311690,JEFFERSON,AL,01,073,01073
AM7823897,LAUDERDALE,AL,01,077,01077
FJ1782691,LEE,AL,01,081,01081
AM6944361,LEE,AL,01,081,01081
AT3472747,LEE,AL,01,081,01081
BK0801337,LEE,AL,01,081,01081
BB8765109,LEE,AL,01,081,01081
AJ0480690,LIMESTONE,AL,01,083,01083
BP4646216,LIMESTONE,AL,01,083,01083
BF9339347,LIMESTONE,AL,01,083,01083
BD8565028,LOWNDES,AL,01,085,01085
AF2586735,LOWNDES,AL,01,085,01085
BP5058501,MADISON,AL,01,089,01089
FS1360798,MADISON,AL,01,089,01089
BS6576788,MADISON,AL,01,089,01089
FP0972364,MADISON,AL,01,089,01089
BR5155951,MARSHALL,AL,01,095,01095
BW5383295,MARSHALL,AL,01,095,01095
AG5497981,MARSHALL,AL,01,095,01095
BK0702301,MOBILE,AL,01,097,01097
FI2967480,MOBILE,AL,01,097,01097
BC9508221,MOBILE,AL,01,097,01097
FW0568076,MOBILE,AL,01,097,01097
BW5459587,MOBILE,AL,01,097,01097
BB4776386,MOBILE,AL,01,097,01097
FB1376715,MOBILE,AL,01,097,01097
BH2254756,MONTGOMERY,AL,01,101,01101
AH7428154,RANDOLPH,AL,01,111,01111
FL3079628,RANDOLPH,AL,01,111,01111
AT1063938,SAINT CLAIR,AL,01,115,01115
FP2771485,SAINT CLAIR,AL,01,115,01115
FJ2177435,SAINT CLAIR,AL,01,115,01115
FB2230554,SHELBY,AL,01,117,01117
BM8263080,TALLADEGA,AL,01,121,01121
BR5155456,TALLADEGA,AL,01,121,01121
FF1408079,TALLADEGA,AL,01,121,01121
FW0131730,TALLADEGA,AL,01,121,01121
AM0484078,TALLADEGA,AL,01,121,01121
AP6463082,TALLADEGA,AL,01,121,01121
AH5643855,TALLADEGA,AL,01,121,01121
BS7685247,TUSCALOOSA,AL,01,125,01125
BR5156888,TUSCALOOSA,AL,01,125,01125
FA0242812,TUSCALOOSA,AL,01,125,01125
AH0478873,TUSCALOOSA,AL,01,125,01125
BP8686632,TUSCALOOSA,AL,01,125,01125
AH5444827,TUSCALOOSA,AL,01,125,01125
AH0468048,TUSCALOOSA,AL,01,125,01125
AM2516841,TUSCALOOSA,AL,01,125,01125
BH0750530,TUSCALOOSA,AL,01,125,01125
BW9589194,CALHOUN,AL,01,015,01015
BW3833375,CALHOUN,AL,01,015,01015
BH2094388,CALHOUN,AL,01,015,01015
BA9214521,CALHOUN,AL,01,015,01015
BW5383346,DALLAS,AL,01,047,01047
BV9681190,DALLAS,AL,01,047,01047
BS9082087,JACKSON,AL,01,071,01071
AC1200372,JACKSON,AL,01,071,01071
BS8992124,JACKSON,AL,01,071,01071
AH0483230,JEFFERSON,AL,01,073,01073
BT5819389,JEFFERSON,AL,01,073,01073
BT5819377,JEFFERSON,AL,01,073,01073
BB1415024,JEFFERSON,AL,01,073,01073
BS6949119,JEFFERSON,AL,01,073,01073
BT7438460,JEFFERSON,AL,01,073,01073
BU4329771,JEFFERSON,AL,01,073,01073
BT7161526,LEE,AL,01,081,01081
BC5877470,LEE,AL,01,081,01081
BW9226033,LEE,AL,01,081,01081
BW3452480,LEE,AL,01,081,01081
BK0862880,LEE,AL,01,081,01081
BB8013966,LEE,AL,01,081,01081
BL8657338,MARENGO,AL,01,091,01091
BC7007544,MOBILE,AL,01,097,01097
BW9827063,MONTGOMERY,AL,01,101,01101
AA5660685,MORGAN,AL,01,103,01103
BP8674726,MORGAN,AL,01,103,01103
BR5764370,SHELBY,AL,01,117,01117
BP7811614,JEFFERSON,AL,01,117,01117
FE0623187,JEFFERSON,AL,01,117,01117
BW7581778,MOBILE,AL,01,097,01097
BW7104223,MOBILE,AL,01,097,01097
BR5751385,MOBILE,AL,01,097,01097
BT7636600,MOBILE,AL,01,097,01097
