BUYER_DEA_NO,BUYER_STATE,BUYER_COUNTY,lat,lon
BR5156078,AL,BALDWIN,30.8804015,-87.7845188
BW4707139,AL,BALDWIN,30.8858628,-87.786709
BN5150141,AL,BALDWIN,30.9045956,-87.7839039
FH2332233,AL,BALDWIN,30.8837998,-87.7892833
AS0479421,AL,BALDWIN,30.8825914,-87.7734201
FM0569814,AL,BALDWIN,30.8842115,-87.7871317
FF3603708,AL,BALDWIN,30.4200523,-87.6820744
FP0535130,AL,BALDWIN,30.4425344,-87.6843249
FB0605812,AL,BLOUNT,34.0812318,-86.5912309
AB0454176,AL,BLOUNT,34.0840843,-86.590502
AC7530428,AL,COOSA,32.8895296,-86.220784
FC2539659,AL,COOSA,32.8890686,-86.2199992
BM3876868,AL,CULLMAN,34.1504832,-86.8476209
BW7177644,AL,CULLMAN,34.1549869,-86.8382099
BC4725202,AL,CULLMAN,34.162571,-86.8367027
BE4870968,AL,CULLMAN,34.153269,-86.8478953
AH8971043,AL,CULLMAN,34.1615444,-86.8344916
FW1007093,AL,CULLMAN,34.1586724,-86.8340629
BH9446560,AL,CULLMAN,34.1585192,-86.8486206
BH2094299,AL,CULLMAN,34.1615444,-86.8344916
AK8900020,AL,CULLMAN,34.154669,-86.835213
BM4569476,AL,CULLMAN,34.170637,-86.840877
BW5383271,AL,CULLMAN,34.1495662,-86.841485
BF8025593,AL,ESCAMBIA,31.0923253,-87.0620358
FR1214345,AL,ETOWAH,34.0237944,-86.0133133
BW5998351,AL,HOUSTON,31.2127463,-85.3602114
FN2464624,AL,HOUSTON,31.1951384,-85.3719938
BB9445479,AL,JACKSON,34.799493,-86.1216231
BU9720853,AL,JEFFERSON,33.4948908,-86.806499
BR5156826,AL,JEFFERSON,33.4967014,-86.8037916
BH2869634,AL,JEFFERSON,33.4948908,-86.806499
AJ0467971,AL,JEFFERSON,33.4323029,-86.9177633
BL9687988,AL,JEFFERSON,33.42842,-86.72879
FG2608175,AL,JEFFERSON,33.4328907,-86.7381385
BR5155432,AL,JEFFERSON,33.4164388,-86.8418618
BW5382914,AL,LEE,32.5713009,-85.4976024
BW4336271,AL,LEE,32.5763561,-85.4964405
AH5497830,AL,MARSHALL,34.332916,-86.503201
AP9051955,AL,MARSHALL,34.3252906,-86.5024577
BW7173242,AL,MOBILE,30.682517,-88.0676818
BW7710773,AL,MOBILE,30.6803851,-88.0752946
AL3471997,AL,MOBILE,30.6652564,-88.0561415
BW5383613,AL,MOBILE,30.683965,-88.124926
BH2254821,AL,MOBILE,30.6885791,-88.1172639
BS7445706,AL,MOBILE,30.6789221,-88.1228849
