BUYER_COUNTY,BUYER_STATE,countyfips,STATE,COUNTY,county_name,NAME,variable,year,population
AUTAUGA,AL,01001,1,1,Autauga,"Autauga County, Alabama",POPESTIMATE2006,2006,51328
BALDWIN,AL,01003,1,3,Baldwin,"Baldwin County, Alabama",POPESTIMATE2006,2006,168121
BARBOUR,AL,01005,1,5,Barbour,"Barbour County, Alabama",POPESTIMATE2006,2006,27861
BIBB,AL,01007,1,7,Bibb,"Bibb County, Alabama",POPESTIMATE2006,2006,22099
BLOUNT,AL,01009,1,9,Blount,"Blount County, Alabama",POPESTIMATE2006,2006,55485
BULLOCK,AL,01011,1,11,Bullock,"Bullock County, Alabama",POPESTIMATE2006,2006,10776
BUTLER,AL,01013,1,13,Butler,"Butler County, Alabama",POPESTIMATE2006,2006,20815
CALHOUN,AL,01015,1,15,Calhoun,"Calhoun County, Alabama",POPESTIMATE2006,2006,115388
CHAMBERS,AL,01017,1,17,Chambers,"Chambers County, Alabama",POPESTIMATE2006,2006,34945
CHEROKEE,AL,01019,1,19,Cherokee,"Cherokee County, Alabama",POPESTIMATE2006,2006,25466
CHILTON,AL,01021,1,21,Chilton,"Chilton County, Alabama",POPESTIMATE2006,2006,42318
CHOCTAW,AL,01023,1,23,Choctaw,"Choctaw County, Alabama",POPESTIMATE2006,2006,14431
CLARKE,AL,01025,1,25,Clarke,"Clarke County, Alabama",POPESTIMATE2006,2006,26755
CLAY,AL,01027,1,27,Clay,"Clay County, Alabama",POPESTIMATE2006,2006,14053
CLEBURNE,AL,01029,1,29,Cleburne,"Cleburne County, Alabama",POPESTIMATE2006,2006,14538
COFFEE,AL,01031,1,31,Coffee,"Coffee County, Alabama",POPESTIMATE2006,2006,46228
COLBERT,AL,01033,1,33,Colbert,"Colbert County, Alabama",POPESTIMATE2006,2006,54413
CONECUH,AL,01035,1,35,Conecuh,"Conecuh County, Alabama",POPESTIMATE2006,2006,13603
COOSA,AL,01037,1,37,Coosa,"Coosa County, Alabama",POPESTIMATE2006,2006,11451
COVINGTON,AL,01039,1,39,Covington,"Covington County, Alabama",POPESTIMATE2006,2006,37441
CRENSHAW,AL,01041,1,41,Crenshaw,"Crenshaw County, Alabama",POPESTIMATE2006,2006,13880
CULLMAN,AL,01043,1,43,Cullman,"Cullman County, Alabama",POPESTIMATE2006,2006,79044
DALE,AL,01045,1,45,Dale,"Dale County, Alabama",POPESTIMATE2006,2006,49077
DALLAS,AL,01047,1,47,Dallas,"Dallas County, Alabama",POPESTIMATE2006,2006,44323
DE KALB,AL,01049,1,49,De Kalb,"DeKalb County, Alabama",POPESTIMATE2006,2006,68495
ELMORE,AL,01051,1,51,Elmore,"Elmore County, Alabama",POPESTIMATE2006,2006,75246
ESCAMBIA,AL,01053,1,53,Escambia,"Escambia County, Alabama",POPESTIMATE2006,2006,37673
ETOWAH,AL,01055,1,55,Etowah,"Etowah County, Alabama",POPESTIMATE2006,2006,103528
FAYETTE,AL,01057,1,57,Fayette,"Fayette County, Alabama",POPESTIMATE2006,2006,17767
FRANKLIN,AL,01059,1,59,Franklin,"Franklin County, Alabama",POPESTIMATE2006,2006,31134
GENEVA,AL,01061,1,61,Geneva,"Geneva County, Alabama",POPESTIMATE2006,2006,26271
GREENE,AL,01063,1,63,Greene,"Greene County, Alabama",POPESTIMATE2006,2006,9361
HALE,AL,01065,1,65,Hale,"Hale County, Alabama",POPESTIMATE2006,2006,16427
HENRY,AL,01067,1,67,Henry,"Henry County, Alabama",POPESTIMATE2006,2006,16953
HOUSTON,AL,01069,1,69,Houston,"Houston County, Alabama",POPESTIMATE2006,2006,95846
JACKSON,AL,01071,1,71,Jackson,"Jackson County, Alabama",POPESTIMATE2006,2006,53483
JEFFERSON,AL,01073,1,73,Jefferson,"Jefferson County, Alabama",POPESTIMATE2006,2006,655893
LAMAR,AL,01075,1,75,Lamar,"Lamar County, Alabama",POPESTIMATE2006,2006,14816
LAUDERDALE,AL,01077,1,77,Lauderdale,"Lauderdale County, Alabama",POPESTIMATE2006,2006,90294
LAWRENCE,AL,01079,1,79,Lawrence,"Lawrence County, Alabama",POPESTIMATE2006,2006,34028
LEE,AL,01081,1,81,Lee,"Lee County, Alabama",POPESTIMATE2006,2006,129247
LIMESTONE,AL,01083,1,83,Limestone,"Limestone County, Alabama",POPESTIMATE2006,2006,73651
LOWNDES,AL,01085,1,85,Lowndes,"Lowndes County, Alabama",POPESTIMATE2006,2006,12124
MACON,AL,01087,1,87,Macon,"Macon County, Alabama",POPESTIMATE2006,2006,22227
MADISON,AL,01089,1,89,Madison,"Madison County, Alabama",POPESTIMATE2006,2006,309170
MARENGO,AL,01091,1,91,Marengo,"Marengo County, Alabama",POPESTIMATE2006,2006,21531
MARION,AL,01093,1,93,Marion,"Marion County, Alabama",POPESTIMATE2006,2006,30779
MARSHALL,AL,01095,1,95,Marshall,"Marshall County, Alabama",POPESTIMATE2006,2006,88209
MOBILE,AL,01097,1,97,Mobile,"Mobile County, Alabama",POPESTIMATE2006,2006,402916
MONROE,AL,01099,1,99,Monroe,"Monroe County, Alabama",POPESTIMATE2006,2006,23602
MONTGOMERY,AL,01101,1,101,Montgomery,"Montgomery County, Alabama",POPESTIMATE2006,2006,227291
MORGAN,AL,01103,1,103,Morgan,"Morgan County, Alabama",POPESTIMATE2006,2006,115491
PERRY,AL,01105,1,105,Perry,"Perry County, Alabama",POPESTIMATE2006,2006,10677
PICKENS,AL,01107,1,107,Pickens,"Pickens County, Alabama",POPESTIMATE2006,2006,20128
PIKE,AL,01109,1,109,Pike,"Pike County, Alabama",POPESTIMATE2006,2006,31309
RANDOLPH,AL,01111,1,111,Randolph,"Randolph County, Alabama",POPESTIMATE2006,2006,22695
RUSSELL,AL,01113,1,113,Russell,"Russell County, Alabama",POPESTIMATE2006,2006,50459
SAINT CLAIR,AL,01115,1,115,Saint Clair,"St. Clair County, Alabama",POPESTIMATE2006,2006,75948
SHELBY,AL,01117,1,117,Shelby,"Shelby County, Alabama",POPESTIMATE2006,2006,178841
SUMTER,AL,01119,1,119,Sumter,"Sumter County, Alabama",POPESTIMATE2006,2006,14059
TALLADEGA,AL,01121,1,121,Talladega,"Talladega County, Alabama",POPESTIMATE2006,2006,81991
TALLAPOOSA,AL,01123,1,123,Tallapoosa,"Tallapoosa County, Alabama",POPESTIMATE2006,2006,41243
TUSCALOOSA,AL,01125,1,125,Tuscaloosa,"Tuscaloosa County, Alabama",POPESTIMATE2006,2006,181383
WALKER,AL,01127,1,127,Walker,"Walker County, Alabama",POPESTIMATE2006,2006,68234
WASHINGTON,AL,01129,1,129,Washington,"Washington County, Alabama",POPESTIMATE2006,2006,17705
WILCOX,AL,01131,1,131,Wilcox,"Wilcox County, Alabama",POPESTIMATE2006,2006,12221
WINSTON,AL,01133,1,133,Winston,"Winston County, Alabama",POPESTIMATE2006,2006,24796
ALEUTIANS EAST,AK,02013,2,13,Aleutians East,"Aleutians East Borough, Alaska",POPESTIMATE2006,2006,2794
ALEUTIANS WEST,AK,02016,2,16,Aleutians West,"Aleutians West Census Area, Alaska",POPESTIMATE2006,2006,5658
ANCHORAGE,AK,02020,2,20,Anchorage,"Anchorage Municipality, Alaska",POPESTIMATE2006,2006,280085
BETHEL,AK,02050,2,50,Bethel,"Bethel Census Area, Alaska",POPESTIMATE2006,2006,16755
BRISTOL BAY,AK,02060,2,60,Bristol Bay,"Bristol Bay Borough, Alaska",POPESTIMATE2006,2006,1111
DENALI,AK,02068,2,68,Denali,"Denali Borough, Alaska",POPESTIMATE2006,2006,1837
DILLINGHAM,AK,02070,2,70,Dillingham,"Dillingham Census Area, Alaska",POPESTIMATE2006,2006,4833
FAIRBANKS NORTH STAR,AK,02090,2,90,Fairbanks North Star,"Fairbanks North Star Borough, Alaska",POPESTIMATE2006,2006,90545
HAINES,AK,02100,2,100,Haines,"Haines Borough, Alaska",POPESTIMATE2006,2006,2300
JUNEAU,AK,02110,2,110,Juneau,"Juneau City and Borough, Alaska",POPESTIMATE2006,2006,30808
KENAI PENINSULA,AK,02122,2,122,Kenai Peninsula,"Kenai Peninsula Borough, Alaska",POPESTIMATE2006,2006,52253
KETCHIKAN GATEWAY,AK,02130,2,130,Ketchikan Gateway,"Ketchikan Gateway Borough, Alaska",POPESTIMATE2006,2006,13492
KODIAK ISLAND,AK,02150,2,150,Kodiak Island,"Kodiak Island Borough, Alaska",POPESTIMATE2006,2006,13184
LAKE AND PENINSULA,AK,02164,2,164,Lake and Peninsula,"Lake and Peninsula Borough, Alaska",POPESTIMATE2006,2006,1624
MATANUSKA SUSITNA,AK,02170,2,170,Matanuska Susitna,"Matanuska-Susitna Borough, Alaska",POPESTIMATE2006,2006,78633
NOME,AK,02180,2,180,Nome,"Nome Census Area, Alaska",POPESTIMATE2006,2006,9235
NORTH SLOPE,AK,02185,2,185,North Slope,"North Slope Borough, Alaska",POPESTIMATE2006,2006,8315
NORTHWEST ARCTIC,AK,02188,2,188,Northwest Arctic,"Northwest Arctic Borough, Alaska",POPESTIMATE2006,2006,7467
PRINCE OF WALES HYDER,AK,02198,2,201,Prince of Wales Hyder,NA,POPESTIMATE2006,2006,5574
SITKA,AK,02220,2,220,Sitka,"Sitka City and Borough, Alaska",POPESTIMATE2006,2006,9046
SKAGWAY HOONAH ANGOON,AK,02232,2,232,Skagway Hoonah Angoon,NA,POPESTIMATE2006,2006,946
SOUTHEAST FAIRBANKS,AK,02240,2,240,Southeast Fairbanks,"Southeast Fairbanks Census Area, Alaska",POPESTIMATE2006,2006,6817
VALDEZ CORDOVA,AK,02261,2,261,Valdez Cordova,"Valdez-Cordova Census Area, Alaska",POPESTIMATE2006,2006,9828
WADE HAMPTON,AK,02270,2,270,Wade Hampton,"Wade Hampton Census Area, Alaska",POPESTIMATE2006,2006,7292
WRANGELL,AK,02275,2,280,Wrangell,NA,POPESTIMATE2006,2006,2309
YAKUTAT,AK,02282,2,282,Yakutat,"Yakutat City and Borough, Alaska",POPESTIMATE2006,2006,642
YUKON KOYUKUK,AK,02290,2,290,Yukon Koyukuk,"Yukon-Koyukuk Census Area, Alaska",POPESTIMATE2006,2006,5762
APACHE,AZ,04001,4,1,Apache,"Apache County, Arizona",POPESTIMATE2006,2006,69390
COCHISE,AZ,04003,4,3,Cochise,"Cochise County, Arizona",POPESTIMATE2006,2006,127241
COCONINO,AZ,04005,4,5,Coconino,"Coconino County, Arizona",POPESTIMATE2006,2006,128695
GILA,AZ,04007,4,7,Gila,"Gila County, Arizona",POPESTIMATE2006,2006,52541
GRAHAM,AZ,04009,4,9,Graham,"Graham County, Arizona",POPESTIMATE2006,2006,33701
GREENLEE,AZ,04011,4,11,Greenlee,"Greenlee County, Arizona",POPESTIMATE2006,2006,7838
LA PAZ,AZ,04012,4,12,La Paz,"La Paz County, Arizona",POPESTIMATE2006,2006,20573
MARICOPA,AZ,04013,4,13,Maricopa,"Maricopa County, Arizona",POPESTIMATE2006,2006,3642884
MOHAVE,AZ,04015,4,15,Mohave,"Mohave County, Arizona",POPESTIMATE2006,2006,196168
NAVAJO,AZ,04017,4,17,Navajo,"Navajo County, Arizona",POPESTIMATE2006,2006,105624
PIMA,AZ,04019,4,19,Pima,"Pima County, Arizona",POPESTIMATE2006,2006,940930
PINAL,AZ,04021,4,21,Pinal,"Pinal County, Arizona",POPESTIMATE2006,2006,271328
SANTA CRUZ,AZ,04023,4,23,Santa Cruz,"Santa Cruz County, Arizona",POPESTIMATE2006,2006,44298
YAVAPAI,AZ,04025,4,25,Yavapai,"Yavapai County, Arizona",POPESTIMATE2006,2006,204082
YUMA,AZ,04027,4,27,Yuma,"Yuma County, Arizona",POPESTIMATE2006,2006,183848
ARKANSAS,AR,05001,5,1,Arkansas,"Arkansas County, Arkansas",POPESTIMATE2006,2006,19785
ASHLEY,AR,05003,5,3,Ashley,"Ashley County, Arkansas",POPESTIMATE2006,2006,22501
BAXTER,AR,05005,5,5,Baxter,"Baxter County, Arkansas",POPESTIMATE2006,2006,40867
BENTON,AR,05007,5,7,Benton,"Benton County, Arkansas",POPESTIMATE2006,2006,195569
BOONE,AR,05009,5,9,Boone,"Boone County, Arkansas",POPESTIMATE2006,2006,36056
BRADLEY,AR,05011,5,11,Bradley,"Bradley County, Arkansas",POPESTIMATE2006,2006,11778
CALHOUN,AR,05013,5,13,Calhoun,"Calhoun County, Arkansas",POPESTIMATE2006,2006,5693
CARROLL,AR,05015,5,15,Carroll,"Carroll County, Arkansas",POPESTIMATE2006,2006,26615
CHICOT,AR,05017,5,17,Chicot,"Chicot County, Arkansas",POPESTIMATE2006,2006,12516
CLARK,AR,05019,5,19,Clark,"Clark County, Arkansas",POPESTIMATE2006,2006,22924
CLAY,AR,05021,5,21,Clay,"Clay County, Arkansas",POPESTIMATE2006,2006,16679
CLEBURNE,AR,05023,5,23,Cleburne,"Cleburne County, Arkansas",POPESTIMATE2006,2006,25430
CLEVELAND,AR,05025,5,25,Cleveland,"Cleveland County, Arkansas",POPESTIMATE2006,2006,8829
COLUMBIA,AR,05027,5,27,Columbia,"Columbia County, Arkansas",POPESTIMATE2006,2006,25133
CONWAY,AR,05029,5,29,Conway,"Conway County, Arkansas",POPESTIMATE2006,2006,20753
CRAIGHEAD,AR,05031,5,31,Craighead,"Craighead County, Arkansas",POPESTIMATE2006,2006,89725
CRAWFORD,AR,05033,5,33,Crawford,"Crawford County, Arkansas",POPESTIMATE2006,2006,59126
CRITTENDEN,AR,05035,5,35,Crittenden,"Crittenden County, Arkansas",POPESTIMATE2006,2006,50360
CROSS,AR,05037,5,37,Cross,"Cross County, Arkansas",POPESTIMATE2006,2006,18525
DALLAS,AR,05039,5,39,Dallas,"Dallas County, Arkansas",POPESTIMATE2006,2006,8477
DESHA,AR,05041,5,41,Desha,"Desha County, Arkansas",POPESTIMATE2006,2006,13870
DREW,AR,05043,5,43,Drew,"Drew County, Arkansas",POPESTIMATE2006,2006,18705
FAULKNER,AR,05045,5,45,Faulkner,"Faulkner County, Arkansas",POPESTIMATE2006,2006,102969
FRANKLIN,AR,05047,5,47,Franklin,"Franklin County, Arkansas",POPESTIMATE2006,2006,18151
FULTON,AR,05049,5,49,Fulton,"Fulton County, Arkansas",POPESTIMATE2006,2006,12119
GARLAND,AR,05051,5,51,Garland,"Garland County, Arkansas",POPESTIMATE2006,2006,94077
GRANT,AR,05053,5,53,Grant,"Grant County, Arkansas",POPESTIMATE2006,2006,17442
GREENE,AR,05055,5,55,Greene,"Greene County, Arkansas",POPESTIMATE2006,2006,40469
HEMPSTEAD,AR,05057,5,57,Hempstead,"Hempstead County, Arkansas",POPESTIMATE2006,2006,22957
HOT SPRING,AR,05059,5,59,Hot Spring,"Hot Spring County, Arkansas",POPESTIMATE2006,2006,32248
HOWARD,AR,05061,5,61,Howard,"Howard County, Arkansas",POPESTIMATE2006,2006,13843
INDEPENDENCE,AR,05063,5,63,Independence,"Independence County, Arkansas",POPESTIMATE2006,2006,35426
IZARD,AR,05065,5,65,Izard,"Izard County, Arkansas",POPESTIMATE2006,2006,13583
JACKSON,AR,05067,5,67,Jackson,"Jackson County, Arkansas",POPESTIMATE2006,2006,18092
JEFFERSON,AR,05069,5,69,Jefferson,"Jefferson County, Arkansas",POPESTIMATE2006,2006,79977
JOHNSON,AR,05071,5,71,Johnson,"Johnson County, Arkansas",POPESTIMATE2006,2006,24596
LAFAYETTE,AR,05073,5,73,Lafayette,"Lafayette County, Arkansas",POPESTIMATE2006,2006,7879
LAWRENCE,AR,05075,5,75,Lawrence,"Lawrence County, Arkansas",POPESTIMATE2006,2006,17193
LEE,AR,05077,5,77,Lee,"Lee County, Arkansas",POPESTIMATE2006,2006,11067
LINCOLN,AR,05079,5,79,Lincoln,"Lincoln County, Arkansas",POPESTIMATE2006,2006,14315
LITTLE RIVER,AR,05081,5,81,Little River,"Little River County, Arkansas",POPESTIMATE2006,2006,13147
LOGAN,AR,05083,5,83,Logan,"Logan County, Arkansas",POPESTIMATE2006,2006,22689
LONOKE,AR,05085,5,85,Lonoke,"Lonoke County, Arkansas",POPESTIMATE2006,2006,62648
MADISON,AR,05087,5,87,Madison,"Madison County, Arkansas",POPESTIMATE2006,2006,15156
MARION,AR,05089,5,89,Marion,"Marion County, Arkansas",POPESTIMATE2006,2006,16759
MILLER,AR,05091,5,91,Miller,"Miller County, Arkansas",POPESTIMATE2006,2006,42669
MISSISSIPPI,AR,05093,5,93,Mississippi,"Mississippi County, Arkansas",POPESTIMATE2006,2006,46983
MONROE,AR,05095,5,95,Monroe,"Monroe County, Arkansas",POPESTIMATE2006,2006,8949
NEVADA,AR,05099,5,99,Nevada,"Nevada County, Arkansas",POPESTIMATE2006,2006,9383
NEWTON,AR,05101,5,101,Newton,"Newton County, Arkansas",POPESTIMATE2006,2006,8474
